altmetric_id,mendeley_readers,citeulikereaders,blog_users,blogs_posts_count,news_unique_users,total_posts_count,wiki_posts_count,facebook_users,facebook_posts,twitter_users,twitter_posts,other_articles,mean,rank,perc,scored_higher_than,sample_size,users_lecturer,users_student_pg,users_student_phd,users_student_doct,users_researcher,users_other,users_prof_assoc,users_prof,users_medi,users_ss,users_psych,users_earth,users_agri,users_arts,users_id,users_au,altmetric_score,altmetric_score_1y,altmetric_score_6m,altmetric_score_3m,altmetric_score_1m
1355177,1249,21,2,2,3,10,3,2,2,0,0,4912897,5.842567061,115951,97,4797231,4912897,4,501,56,266,22,70,42,67,3,9,4,503,3,67,5,27,38.516,0.5,0,0,0
1356023,2026,18,6,6,0,54,4,0,0,0,0,4444531,4.800940213,30590,99,4414379,4444531,22,797,119,296,19,97,58,2,3,1,4,30,3,61,7,26,81.648,0,0,0,0
1356147,2137,18,1,1,0,6,1,1,1,3,3,4712292,5.686366116,326947,93,4385410,4712292,23,662,104,477,37,129,66,48,11,4,6,1790,4,115,10,33,13.078,1,0,0,0
1356405,3115,6,1,1,0,3,2,0,0,0,0,4683775,5.702761282,551393,88,4133033,4683775,69,916,290,448,76,253,126,274,377,1564,5,199,17,156,13,74,8.328,0,0,0,0
1356524,666,7,1,1,1,4,0,0,0,0,0,3792408,5.005169479,145611,96,3647040,3792408,12,195,42,140,21,45,28,6,150,10,31,107,13,32,4,13,19.376,0,0,0,0
1357968,450,5,2,2,1,5,1,0,0,1,1,4941811,5.861468193,178140,96,4763683,4941811,7,129,25,72,6,40,24,9,60,214,1,55,6,21,2,15,25.32,1,1,0,0
1358882,682,4,1,1,0,6,0,0,0,4,5,4968604,5.88413615,518083,89,4450383,4968604,3,209,38,121,19,28,13,42,5,2,5,509,1,39,2,8,9.33,5.08,5.08,5.08,0
1360011,588,3,1,1,1,14,1,3,3,7,7,5157692,6.095593461,165584,96,4992021,5157692,9,140,32,76,26,14,11,137,1,1,2,328,0,11,1,5,29.75,19.25,10,0,0
1364308,2926,27,4,6,1,40,1,3,4,17,26,5187054,6.124128646,98723,98,5088335,5187054,19,957,144,783,103,131,63,308,5,4,9,2306,3,92,14,52,50.094,4.6,1.6,1.6,0
1366319,352,10,4,4,0,10,2,1,1,3,3,4725905,5.596317857,150177,96,4575725,4725905,6,99,18,97,11,35,18,2,19,11,3,226,1,19,1,12,27.254,0,0,0,0
